humanID,time,event,location
475,0.808163844667287,takeTrip,6
475,1.96253300546555,returnHome,1
510,2.44117596478735,takeTrip,6
510,3.52740685970872,returnHome,2
803,3.49902216628701,takeTrip,6
350,4.08623525379618,takeTrip,4
478,4.37125007074353,takeTrip,3
241,5.89107008632687,takeTrip,6
769,5.41857616711243,takeTrip,3
350,5.7911960668913,returnHome,1
898,5.56283452509783,takeTrip,6
349,6.27757510501617,takeTrip,4
438,6.63167460491636,takeTrip,3
438,6.75931837266066,returnHome,1
769,7.43222146496012,returnHome,2
986,8.55355169367288,takeTrip,3
182,8.6258288302043,takeTrip,3
182,8.7522554156886,returnHome,1
770,8.02880602968379,takeTrip,6
302,8.14507488310055,takeTrip,3
349,8.56761252826241,returnHome,1
803,8.3935691840331,returnHome,2
371,8.99611518251936,takeTrip,6
414,8.00887277556599,takeTrip,6
843,9.5850140086573,takeTrip,3
414,9.41654750213042,returnHome,1
969,9.79945583830102,takeTrip,4
714,10.4958609704229,takeTrip,3
714,10.957078261271,returnHome,2
357,10.5096157052535,takeTrip,6
371,10.6335489377309,returnHome,1
937,10.1356271341961,takeTrip,5
969,10.1062799536894,returnHome,2
331,11.4435696046363,takeTrip,6
357,11.2117973262425,returnHome,1
843,11.3808199265144,returnHome,2
426,11.7583476350733,takeTrip,6
443,11.2625377616789,takeTrip,4
937,11.7488178843219,returnHome,2
241,12.541604950444,returnHome,1
280,12.3368292711483,takeTrip,4
50,12.2550907899926,takeTrip,3
50,12.4479524439254,returnHome,1
898,12.267176862045,returnHome,2
443,12.2293310899052,returnHome,1
993,13.9408425543123,takeTrip,6
514,13.7169109854927,takeTrip,3
514,13.8513285156419,returnHome,2
592,13.2421232570593,takeTrip,3
592,13.7588113058989,returnHome,2
280,13.6697219818068,returnHome,1
770,13.0187412002908,returnHome,2
302,13.5022817042901,returnHome,1
426,13.7001835088336,returnHome,1
930,13.1766781262853,takeTrip,3
986,15.114598086883,returnHome,2
620,15.4886587238331,takeTrip,3
620,15.5257599975723,returnHome,2
273,16.5815760563722,takeTrip,3
521,17.9816840479781,takeTrip,6
273,17.968456057891,returnHome,1
284,17.2927487450958,takeTrip,3
284,17.7879094304823,returnHome,1
331,17.1067318674945,returnHome,1
915,17.537271747296,takeTrip,3
495,17.79472804437,takeTrip,5
552,18.6615281173719,takeTrip,6
294,18.8114110641421,takeTrip,4
79,18.3875735522126,takeTrip,4
521,19.0888295911884,returnHome,2
418,19.5282850225942,takeTrip,4
418,19.998748674758,returnHome,1
924,19.6007048032084,takeTrip,3
924,19.749322364483,returnHome,2
594,20.8156463780117,takeTrip,8
79,20.461703627265,returnHome,1
915,20.8444956334214,returnHome,2
930,20.9792145222169,returnHome,2
993,21.3478766921518,returnHome,2
