time,state,patch1,patch2,patch3,patch4,patch5,patch6,patch7,patch8,patch9
0,M,179.810996951357,187.677612942089,0,0,0,0,0,0,0
0,Y,11.2137957781973,13.7812573909033,0,0,0,0,0,0,0
0,Z,3.51900793758763,4.32470459670909,0,0,0,0,0,0,0
1,M,175.329897256221,195.90985164788,0,0,0,0,0,0,0
1,Y,10.0924162003776,12.403131651813,0,0,0,0,0,0,0
1,Z,3.51900793758763,3.89223413703818,0,0.351900793758763,0,0,0.351900793758763,0,0
2,M,175.796907530599,195.218866483092,0,0,0,0,0,0,0
2,Y,10.1949342332069,12.8159831919225,0,0,0,0,0,0,0
2,Z,3.59957760349978,3.50301072333436,0,0.749181174053796,0,0,0.749181174053796,0,0
3,M,172.617216777539,193.696979834783,0,0,0,0,0,0,0
3,Y,10.2653808460079,13.173841563337,0,0,0,0,0,0,0
3,Z,3.2396198431498,3.15270965100092,0,0.674263056648416,0,0,0.674263056648416,0,0
4,M,176.055495099785,188.727281851304,0,0,0,0,0,0,0
4,Y,10.3512887501938,13.4370393978293,0,0,0,0,0,0,0
4,Z,2.91565785883482,2.83743868590083,0.351900793758763,0.606836750983574,0,0.351900793758763,0.606836750983574,0,0.351900793758763
5,M,175.549945589807,190.554553666174,0,0,0,0,0,0,0
5,Y,10.4247189160545,13.6735054838445,0,0,0,0,0,0,0
5,Z,2.62409207295134,2.55369481731075,0.749181174053796,0.546153075885217,0,0.749181174053796,0.546153075885217,0,0.749181174053796
6,M,174.194951030826,194.899098299557,0,0,0,0,0,0,0
6,Y,10.485752200132,13.9228787502426,0,0,0,0,0,0,0
6,Z,2.36168286565621,2.29832533557967,0.674263056648416,0.491537768296695,0,0.674263056648416,0.491537768296695,0,0.674263056648416
7,M,175.675455927743,192.509188469601,0,0,0,0,0,0,0
7,Y,10.5366895036907,14.1306313653159,0,0,0,0,0,0,0
7,Z,2.12551457909059,2.42039359578047,0.606836750983574,0.442383991467026,0.351900793758763,0.606836750983574,0.442383991467026,0.351900793758763,0.606836750983574
